gesture,forces,sg1,sg2,sg3,sg4,sg5,sg6
1,100,45,34,-43,-42,2,-7
1,500,232,192,-200,-214,18,-24
1,1000,470,385,-406,-426,35,-44
2,100,44,35,-40,-39,0,-4
2,500,226,183,-196,-201,10,-14
2,1000,462,355,-381,-392,23,-30
3,100,42,32,-39,-38,-2,-4
3,500,218,178,-185,-190,6,-2
3,1000,431,349,-362,-385,8,-8
4,100,41,34,-36,-37,0,-2
4,500,203,169,-177,-187,4,-3
4,1000,418,338,-350,-370,7,-7
5,100,39,30,-35,-35,0,-1
5,500,198,163,-173,-179,3,-3
5,1000,398,323,-335,-351,6,-5
6,100,38,30,-34,-32,6,6
6,500,192,154,-166,-166,2,-2
6,1000,390,312,-328,-338,4,-5
7,100,38,28,-33,-31,0,-1
7,500,184,152,-160,-166,2,-3
7,1000,380,309,-318,-333,6,-6
